song,tot_laudness_mean,tot_laudness_std,SONE_mean0,SONE_mean1,SONE_mean2,SONE_mean3,SONE_mean4,SONE_mean5,SONE_mean6,SONE_mean7,SONE_mean8,SONE_mean9,SONE_mean10,SONE_mean11,SONE_mean12,SONE_mean13,SONE_mean14,SONE_mean15,SONE_mean16,SONE_mean17,SONE_mean18,SONE_mean19,SONE_mean20,SONE_mean21,SONE_mean22,SONE_mean23,SONE_std0,SONE_std1,SONE_std2,SONE_std3,SONE_std4,SONE_std5,SONE_std6,SONE_std7,SONE_std8,SONE_std9,SONE_std10,SONE_std11,SONE_std12,SONE_std13,SONE_std14,SONE_std15,SONE_std16,SONE_std17,SONE_std18,SONE_std19,SONE_std20,SONE_std21,SONE_std22,SONE_std23
18.mp3,0.12056433312078235,0.04301078831974386,[0.03192158,0.04446308,0.03514311,0.03571587,0.0305782,0.02797052,0.02145609,0.01347952,0.00950222,0.01117978,0.01229384,0.00586687,0.00565507,0.00243671,0.00442653,0.00805834,0.00781665,0.02169424,0.01307931,0.01917406,0.0163504,0.01720065,0.00777811,0.00529719],[0.03192158,0.04446308,0.03514311,0.03571587,0.0305782,0.02797052,0.02145609,0.01347952,0.00950222,0.01117978,0.01229384,0.00586687,0.00565507,0.00243671,0.00442653,0.00805834,0.00781665,0.02169424,0.01307931,0.01917406,0.0163504,0.01720065,0.00777811,0.00529719]
19.mp3,0.3163399490953637,0.08916825819270434,[0.1149921,0.11477152,0.07475196,0.0870958,0.05638556,0.064972,0.06367469,0.06637778,0.05291938,0.04370498,0.04374015,0.04365392,0.0455816,0.04904973,0.04349149,0.03598156,0.03527873,0.043868,0.02956131,0.02076824,0.02747186,0.03436254,0.0356652,0.03315983],[0.1149921,0.11477152,0.07475196,0.0870958,0.05638556,0.064972,0.06367469,0.06637778,0.05291938,0.04370498,0.04374015,0.04365392,0.0455816,0.04904973,0.04349149,0.03598156,0.03527873,0.043868,0.02956131,0.02076824,0.02747186,0.03436254,0.0356652,0.03315983]
20.mp3,0.21447505609463544,0.10630970441808331,[0.07093148,0.0616631,0.05179693,0.04574779,0.0273352,0.03969561,0.02442979,0.01935905,0.0127601,0.0193937,0.0143867,0.02149666,0.03627182,0.02904191,0.04327967,0.03728161,0.0427474,0.03415992,0.03134188,0.02911766,0.02699453,0.02853331,0.02869976,0.04006709],[0.07093148,0.0616631,0.05179693,0.04574779,0.0273352,0.03969561,0.02442979,0.01935905,0.0127601,0.0193937,0.0143867,0.02149666,0.03627182,0.02904191,0.04327967,0.03728161,0.0427474,0.03415992,0.03134188,0.02911766,0.02699453,0.02853331,0.02869976,0.04006709]
21.mp3,0.28920513927978364,0.07685359755640461,[0.03304963,0.09047977,0.09514874,0.11607033,0.07326186,0.06888067,0.07376084,0.06859503,0.06146788,0.05010241,0.04359828,0.02987878,0.02194605,0.03180753,0.0353148,0.03305738,0.03147534,0.04204235,0.03296987,0.02759346,0.03034412,0.02360782,0.02542606,0.02273707],[0.03304963,0.09047977,0.09514874,0.11607033,0.07326186,0.06888067,0.07376084,0.06859503,0.06146788,0.05010241,0.04359828,0.02987878,0.02194605,0.03180753,0.0353148,0.03305738,0.03147534,0.04204235,0.03296987,0.02759346,0.03034412,0.02360782,0.02542606,0.02273707]
22.mp3,0.1892605922042258,0.06955792997759268,[0.06576163,0.06666911,0.06147424,0.05661703,0.03353544,0.03121201,0.02927163,0.04137759,0.02788611,0.01873765,0.02543666,0.02343669,0.03181654,0.03381793,0.0426014,0.0299997,0.02644657,0.02794879,0.01101775,0.00869256,0.00794842,0.00788401,0.01072294,0.003983,],[0.06576163,0.06666911,0.06147424,0.05661703,0.03353544,0.03121201,0.02927163,0.04137759,0.02788611,0.01873765,0.02543666,0.02343669,0.03181654,0.03381793,0.0426014,0.0299997,0.02644657,0.02794879,0.01101775,0.00869256,0.00794842,0.00788401,0.01072294,0.003983,]
24.mp3,0.24011079072774816,0.0609586843655627,[0.0418695,0.07126306,0.04387004,0.08494351,0.05812744,0.04914194,0.02108712,0.04014967,0.04328303,0.02384933,0.02092841,0.02308804,0.03009519,0.0234401,0.03883782,0.03993033,0.04460478,0.03790513,0.03708273,0.03433065,0.02447909,0.01846072,0.01018057,0.01305812],[0.0418695,0.07126306,0.04387004,0.08494351,0.05812744,0.04914194,0.02108712,0.04014967,0.04328303,0.02384933,0.02092841,0.02308804,0.03009519,0.0234401,0.03883782,0.03993033,0.04460478,0.03790513,0.03708273,0.03433065,0.02447909,0.01846072,0.01018057,0.01305812]
25.mp3,0.24155596223761308,0.061000151667028074,[0.09836617,0.0806104,0.03382215,0.04300353,0.02054371,0.02193302,0.02182017,0.0342567,0.02856167,0.02049426,0.02756303,0.02560441,0.03961254,0.04347402,0.05481674,0.05696456,0.05123663,0.04584704,0.06253336,0.04195808,0.02671765,0.0242935,0.01796006,0.02175625],[0.09836617,0.0806104,0.03382215,0.04300353,0.02054371,0.02193302,0.02182017,0.0342567,0.02856167,0.02049426,0.02756303,0.02560441,0.03961254,0.04347402,0.05481674,0.05696456,0.05123663,0.04584704,0.06253336,0.04195808,0.02671765,0.0242935,0.01796006,0.02175625]
31.mp3,0.18985238675044763,0.07634987391598728,[0.08672458,0.06774495,0.04542289,0.03382905,0.0118884,0.017199,0.01553897,0.02067549,0.0232436,0.02711899,0.02421291,0.0145397,0.0194992,0.01801902,0.01849094,0.01569515,0.01790028,0.02311225,0.02667489,0.02835373,0.02948225,0.03145564,0.03075022,0.01931408],[0.08672458,0.06774495,0.04542289,0.03382905,0.0118884,0.017199,0.01553897,0.02067549,0.0232436,0.02711899,0.02421291,0.0145397,0.0194992,0.01801902,0.01849094,0.01569515,0.01790028,0.02311225,0.02667489,0.02835373,0.02948225,0.03145564,0.03075022,0.01931408]
32.mp3,0.33708156369219666,0.11513486013245013,[0.03575509,0.04684122,0.0780255,0.05446153,0.04031188,0.07274915,0.0583809,0.07665101,0.09793344,0.0655854,0.08685336,0.08134366,0.07568298,0.06903611,0.13183881,0.08051936,0.04918172,0.043409,0.02184095,0.01410494,0.01086973,0.0076043,0.00393609,0.00307214],[0.03575509,0.04684122,0.0780255,0.05446153,0.04031188,0.07274915,0.0583809,0.07665101,0.09793344,0.0655854,0.08685336,0.08134366,0.07568298,0.06903611,0.13183881,0.08051936,0.04918172,0.043409,0.02184095,0.01410494,0.01086973,0.0076043,0.00393609,0.00307214]
35.mp3,0.2697836916136899,0.10687713093640525,[0.05045725,0.07869984,0.07286117,0.09809303,0.0438911,0.05847312,0.03842332,0.04020691,0.03117437,0.04685213,0.04443922,0.02252731,0.0320398,0.02089256,0.02227727,0.01846689,0.01802551,0.04497563,0.03201247,0.02953504,0.02763056,0.02929119,0.0284798,0.01928306],[0.05045725,0.07869984,0.07286117,0.09809303,0.0438911,0.05847312,0.03842332,0.04020691,0.03117437,0.04685213,0.04443922,0.02252731,0.0320398,0.02089256,0.02227727,0.01846689,0.01802551,0.04497563,0.03201247,0.02953504,0.02763056,0.02929119,0.0284798,0.01928306]
37.mp3,0.23923598444951355,0.05716573514677535,[0.08071667,0.09020673,0.04584489,0.05182274,0.03507245,0.04755113,0.04050331,0.03388918,0.03658529,0.02538619,0.02691835,0.02705331,0.03653725,0.04201561,0.05572725,0.04487632,0.04394186,0.04583138,0.04065049,0.02404409,0.0175934,0.01792573,0.01476091,0.02720146],[0.08071667,0.09020673,0.04584489,0.05182274,0.03507245,0.04755113,0.04050331,0.03388918,0.03658529,0.02538619,0.02691835,0.02705331,0.03653725,0.04201561,0.05572725,0.04487632,0.04394186,0.04583138,0.04065049,0.02404409,0.0175934,0.01792573,0.01476091,0.02720146]
39.mp3,0.3332527178372134,0.09280240918200884,[0.03398973,0.05586864,0.0483771,0.06314886,0.04524501,0.05397074,0.05805797,0.04776724,0.0476068,0.06304198,0.07994839,0.05793237,0.08057325,0.06141908,0.093177,0.09365028,0.08776841,0.09401833,0.07351661,0.05136939,0.04175945,0.04025288,0.02362204,0.00950882],[0.03398973,0.05586864,0.0483771,0.06314886,0.04524501,0.05397074,0.05805797,0.04776724,0.0476068,0.06304198,0.07994839,0.05793237,0.08057325,0.06141908,0.093177,0.09365028,0.08776841,0.09401833,0.07351661,0.05136939,0.04175945,0.04025288,0.02362204,0.00950882]
40.mp3,0.14528471302713217,0.07690494871042892,[0.04713716,0.06375015,0.04516818,0.04640084,0.02670325,0.03188899,0.02820505,0.02066213,0.01500651,0.01307168,0.01256171,0.00903682,0.01660815,0.01022365,0.01197134,0.0098157,0.01060662,0.01331119,0.01144835,0.01169843,0.00961757,0.0103092,0.01044485,0.00847141],[0.04713716,0.06375015,0.04516818,0.04640084,0.02670325,0.03188899,0.02820505,0.02066213,0.01500651,0.01307168,0.01256171,0.00903682,0.01660815,0.01022365,0.01197134,0.0098157,0.01060662,0.01331119,0.01144835,0.01169843,0.00961757,0.0103092,0.01044485,0.00847141]
41.mp3,0.25958916720145925,0.04393152205866703,[0.04890372,0.09530185,0.0796663,0.09327863,0.05388654,0.06567494,0.05198084,0.05182864,0.04160347,0.03759996,0.0497599,0.05511704,0.05001322,0.0572653,0.04328114,0.04492072,0.03707892,0.03280485,0.02125361,0.0147067,0.01287416,0.014061,0.01298532,0.00457386],[0.04890372,0.09530185,0.0796663,0.09327863,0.05388654,0.06567494,0.05198084,0.05182864,0.04160347,0.03759996,0.0497599,0.05511704,0.05001322,0.0572653,0.04328114,0.04492072,0.03707892,0.03280485,0.02125361,0.0147067,0.01287416,0.014061,0.01298532,0.00457386]
42.mp3,0.2378762302032405,0.04716837793074987,[0.09945435,0.08550689,0.06502699,0.05627627,0.0402572,0.0414888,0.03333687,0.03487318,0.03517726,0.04057742,0.03713625,0.04353473,0.04148966,0.03458182,0.0430222,0.0398857,0.03990066,0.02889702,0.01879221,0.01754828,0.01598939,0.01494116,0.0157403,0.00622878],[0.09945435,0.08550689,0.06502699,0.05627627,0.0402572,0.0414888,0.03333687,0.03487318,0.03517726,0.04057742,0.03713625,0.04353473,0.04148966,0.03458182,0.0430222,0.0398857,0.03990066,0.02889702,0.01879221,0.01754828,0.01598939,0.01494116,0.0157403,0.00622878]
43.mp3,0.5740934373917388,0.06368344125382963,[0.22531104,0.17775441,0.09618208,0.11165618,0.07533596,0.09896352,0.1084767,0.11956727,0.13648261,0.11722711,0.11749331,0.11325493,0.1229859,0.11071103,0.1118186,0.11469361,0.09486685,0.08451704,0.08228636,0.07387266,0.06631183,0.04974393,0.0411256,0.01858214],[0.22531104,0.17775441,0.09618208,0.11165618,0.07533596,0.09896352,0.1084767,0.11956727,0.13648261,0.11722711,0.11749331,0.11325493,0.1229859,0.11071103,0.1118186,0.11469361,0.09486685,0.08451704,0.08228636,0.07387266,0.06631183,0.04974393,0.0411256,0.01858214]
44.mp3,0.17772878996742528,0.05356467867511726,[0.03965116,0.06852295,0.05004296,0.05661064,0.03819308,0.06035768,0.03502542,0.02218444,0.02476911,0.01674537,0.02148744,0.01781835,0.01470174,0.00935757,0.01305339,0.01064851,0.01619536,0.01390543,0.01029861,0.01047816,0.01231859,0.01067095,0.01125316,0.00693696],[0.03965116,0.06852295,0.05004296,0.05661064,0.03819308,0.06035768,0.03502542,0.02218444,0.02476911,0.01674537,0.02148744,0.01781835,0.01470174,0.00935757,0.01305339,0.01064851,0.01619536,0.01390543,0.01029861,0.01047816,0.01231859,0.01067095,0.01125316,0.00693696]
45.mp3,0.42298758915491375,0.050523777987944336,[0.11875993,0.12008028,0.09626215,0.1113316,0.07398895,0.08963944,0.09380604,0.13715528,0.0992953,0.06869437,0.07442225,0.08340182,0.10214564,0.1049275,0.09325433,0.0814109,0.07928305,0.0353411,0.03177586,0.01119816,0.00349292,0.00240776,0.0015215,0.00137146],[0.11875993,0.12008028,0.09626215,0.1113316,0.07398895,0.08963944,0.09380604,0.13715528,0.0992953,0.06869437,0.07442225,0.08340182,0.10214564,0.1049275,0.09325433,0.0814109,0.07928305,0.0353411,0.03177586,0.01119816,0.00349292,0.00240776,0.0015215,0.00137146]
46.mp3,0.1820107738027658,0.08913476314531626,[0.04250905,0.04931057,0.05636968,0.07592603,0.02816028,0.02741999,0.02447691,0.02180085,0.01573607,0.01554312,0.01786691,0.02316463,0.02553646,0.03278738,0.02619245,0.01857402,0.01133317,0.01406628,0.01437747,0.01537523,0.01516426,0.01807122,0.02111585,0.01728501],[0.04250905,0.04931057,0.05636968,0.07592603,0.02816028,0.02741999,0.02447691,0.02180085,0.01573607,0.01554312,0.01786691,0.02316463,0.02553646,0.03278738,0.02619245,0.01857402,0.01133317,0.01406628,0.01437747,0.01537523,0.01516426,0.01807122,0.02111585,0.01728501]
47.mp3,0.2072090384306241,0.063660055640995,[0.08926854,0.08985145,0.05583187,0.05409624,0.02413886,0.02896496,0.02819241,0.03064316,0.01971905,0.01866885,0.02025944,0.01531968,0.03046931,0.02840962,0.04010977,0.03779179,0.02429451,0.0379261,0.01794087,0.007895,0.00585235,0.00907711,0.01067795,0.00856023],[0.08926854,0.08985145,0.05583187,0.05409624,0.02413886,0.02896496,0.02819241,0.03064316,0.01971905,0.01866885,0.02025944,0.01531968,0.03046931,0.02840962,0.04010977,0.03779179,0.02429451,0.0379261,0.01794087,0.007895,0.00585235,0.00907711,0.01067795,0.00856023]
48.mp3,0.17264938964252477,0.0511312575333351,[0.06204264,0.07032128,0.05060134,0.05527281,0.02687171,0.02626687,0.0190269,0.01603995,0.01549603,0.01477142,0.01749963,0.02381328,0.03329796,0.03893622,0.04602057,0.03503503,0.03164712,0.02321957,0.01304952,0.00921592,0.00884311,0.01018071,0.00916931,0.00415811],[0.06204264,0.07032128,0.05060134,0.05527281,0.02687171,0.02626687,0.0190269,0.01603995,0.01549603,0.01477142,0.01749963,0.02381328,0.03329796,0.03893622,0.04602057,0.03503503,0.03164712,0.02321957,0.01304952,0.00921592,0.00884311,0.01018071,0.00916931,0.00415811]
49.mp3,0.2798081413067855,0.0886439689642322,[0.025971,0.09138912,0.09521451,0.09771607,0.06062942,0.06804761,0.06724142,0.0770933,0.05753428,0.05190168,0.07378487,0.04928845,0.0473137,0.03477278,0.03044839,0.0261243,0.02992014,0.01903084,0.00530903,0.00858686,0.02123607,0.0206455,0.01180636,0.00222966],[0.025971,0.09138912,0.09521451,0.09771607,0.06062942,0.06804761,0.06724142,0.0770933,0.05753428,0.05190168,0.07378487,0.04928845,0.0473137,0.03477278,0.03044839,0.0261243,0.02992014,0.01903084,0.00530903,0.00858686,0.02123607,0.0206455,0.01180636,0.00222966]
50.mp3,0.12004752894576669,0.08701460362989925,[0.07957227,0.0558509,0.02141472,0.02670917,0.01688533,0.0067258,0.00541701,0.00646236,0.00490773,0.0036196,0.00538564,0.00204418,0.00380233,0.00323723,0.00347571,0.00371911,0.00365992,0.00386654,0.00333719,0.00262248,0.00242365,0.00273608,0.00226442,0.00140608],[0.07957227,0.0558509,0.02141472,0.02670917,0.01688533,0.0067258,0.00541701,0.00646236,0.00490773,0.0036196,0.00538564,0.00204418,0.00380233,0.00323723,0.00347571,0.00371911,0.00365992,0.00386654,0.00333719,0.00262248,0.00242365,0.00273608,0.00226442,0.00140608]
51.mp3,0.19907334146532044,0.07777671333359647,[0.11846805,0.07643614,0.06579241,0.04905685,0.02590163,0.01605455,0.01334332,0.02065381,0.01470898,0.01576092,0.02220889,0.01745121,0.01743249,0.02367287,0.01462137,0.01829928,0.01335979,0.01456647,0.01810633,0.01573147,0.00625309,0.00389814,0.00143435,0.00041737],[0.11846805,0.07643614,0.06579241,0.04905685,0.02590163,0.01605455,0.01334332,0.02065381,0.01470898,0.01576092,0.02220889,0.01745121,0.01743249,0.02367287,0.01462137,0.01829928,0.01335979,0.01456647,0.01810633,0.01573147,0.00625309,0.00389814,0.00143435,0.00041737]
52.mp3,0.47657882768544313,0.10811345822410445,[0.21871633,0.1424179,0.10832118,0.09648075,0.05965064,0.084264,0.06806401,0.08544277,0.07873351,0.06376341,0.08216569,0.08379463,0.08004659,0.06635265,0.07256726,0.06995065,0.07528635,0.06646871,0.06121837,0.06624424,0.05167555,0.04230606,0.03652138,0.01313893],[0.21871633,0.1424179,0.10832118,0.09648075,0.05965064,0.084264,0.06806401,0.08544277,0.07873351,0.06376341,0.08216569,0.08379463,0.08004659,0.06635265,0.07256726,0.06995065,0.07528635,0.06646871,0.06121837,0.06624424,0.05167555,0.04230606,0.03652138,0.01313893]
53.mp3,0.15837131647538194,0.06987658231678298,[0.04664482,0.04710332,0.04111449,0.05891816,0.03336046,0.04748052,0.042628,0.02465138,0.02277902,0.02666841,0.02684302,0.03327135,0.02367513,0.02121437,0.02588716,0.01311053,0.0181852,0.01055549,0.00597286,0.00799032,0.00803783,0.0052444,0.01335633,0.0009364,],[0.04664482,0.04710332,0.04111449,0.05891816,0.03336046,0.04748052,0.042628,0.02465138,0.02277902,0.02666841,0.02684302,0.03327135,0.02367513,0.02121437,0.02588716,0.01311053,0.0181852,0.01055549,0.00597286,0.00799032,0.00803783,0.0052444,0.01335633,0.0009364,]
54.mp3,0.18866469112478318,0.0809362996335576,[0.11313591,0.07764651,0.03567931,0.03368059,0.0139577,0.01756497,0.02343445,0.02950879,0.02301528,0.01707241,0.01722346,0.01583803,0.02394353,0.0167256,0.01790001,0.01900607,0.01355455,0.00693233,0.00652224,0.00974741,0.00968613,0.00819451,0.00632588,0.00431854],[0.11313591,0.07764651,0.03567931,0.03368059,0.0139577,0.01756497,0.02343445,0.02950879,0.02301528,0.01707241,0.01722346,0.01583803,0.02394353,0.0167256,0.01790001,0.01900607,0.01355455,0.00693233,0.00652224,0.00974741,0.00968613,0.00819451,0.00632588,0.00431854]
55.mp3,0.1743137026618155,0.08492271738185472,[2.43536336e-02,3.96032745e-02,4.51884802e-02,6.49395650e-02,3.47700972e-02,3.55377712e-02,2.88107646e-02,3.47578763e-02,3.65349581e-02,3.09793773e-02,3.45260719e-02,2.57402765e-02,3.47347177e-02,2.68711779e-02,3.24643959e-02,2.03908693e-02,1.72240676e-02,1.96765927e-02,9.67735297e-03,1.96330873e-03,1.50799213e-04,5.22618384e-05,5.26655771e-05,7.37888020e-05],[2.43536336e-02,3.96032745e-02,4.51884802e-02,6.49395650e-02,3.47700972e-02,3.55377712e-02,2.88107646e-02,3.47578763e-02,3.65349581e-02,3.09793773e-02,3.45260719e-02,2.57402765e-02,3.47347177e-02,2.68711779e-02,3.24643959e-02,2.03908693e-02,1.72240676e-02,1.96765927e-02,9.67735297e-03,1.96330873e-03,1.50799213e-04,5.22618384e-05,5.26655771e-05,7.37888020e-05]
56.mp3,0.386876614242113,0.07037801371656643,[0.11328083,0.08015922,0.10138177,0.10401646,0.06334625,0.08028936,0.08058173,0.0688154,0.07135237,0.07358394,0.07538798,0.07612684,0.08004274,0.06545155,0.06957661,0.06990798,0.06703747,0.0610909,0.06775736,0.05335672,0.03052061,0.04884413,0.04516865,0.02222597],[0.11328083,0.08015922,0.10138177,0.10401646,0.06334625,0.08028936,0.08058173,0.0688154,0.07135237,0.07358394,0.07538798,0.07612684,0.08004274,0.06545155,0.06957661,0.06990798,0.06703747,0.0610909,0.06775736,0.05335672,0.03052061,0.04884413,0.04516865,0.02222597]
58.mp3,0.23295539346267924,0.07603007418493837,[0.15240489,0.08984358,0.03872672,0.02726518,0.01056518,0.01162818,0.01063723,0.01195262,0.0116874,0.02073468,0.03601422,0.03378548,0.01593675,0.0125035,0.01671041,0.02259288,0.01414343,0.01891539,0.02019032,0.01997086,0.01505118,0.01722037,0.01371727,0.00936683],[0.15240489,0.08984358,0.03872672,0.02726518,0.01056518,0.01162818,0.01063723,0.01195262,0.0116874,0.02073468,0.03601422,0.03378548,0.01593675,0.0125035,0.01671041,0.02259288,0.01414343,0.01891539,0.02019032,0.01997086,0.01505118,0.01722037,0.01371727,0.00936683]
59.mp3,0.47226717592725714,0.07816129741399183,[0.1284838,0.14817494,0.10119658,0.11449072,0.06873128,0.09238785,0.09215723,0.1181339,0.11205771,0.11420005,0.11580951,0.09826486,0.10728592,0.09001477,0.09783404,0.09415313,0.08109009,0.07357394,0.06138829,0.06076412,0.04538725,0.03795936,0.02110018,0.00670551],[0.1284838,0.14817494,0.10119658,0.11449072,0.06873128,0.09238785,0.09215723,0.1181339,0.11205771,0.11420005,0.11580951,0.09826486,0.10728592,0.09001477,0.09783404,0.09415313,0.08109009,0.07357394,0.06138829,0.06076412,0.04538725,0.03795936,0.02110018,0.00670551]
