song,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,onset_mean,onset_std,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,tot_loudness_mean,tot_loudness_std,SONE_mean0,SONE_mean1,SONE_mean2,SONE_mean3,SONE_mean4,SONE_mean5,SONE_mean6,SONE_mean7,SONE_mean8,SONE_mean9,SONE_mean10,SONE_mean11,SONE_mean12,SONE_mean13,SONE_mean14,SONE_mean15,SONE_mean16,SONE_mean17,SONE_mean18,SONE_mean19,SONE_mean20,SONE_mean21,SONE_mean22,SONE_mean23,SONE_std0,SONE_std1,SONE_std2,SONE_std3,SONE_std4,SONE_std5,SONE_std6,SONE_std7,SONE_std8,SONE_std9,SONE_std10,SONE_std11,SONE_std12,SONE_std13,SONE_std14,SONE_std15,SONE_std16,SONE_std17,SONE_std18,SONE_std19,SONE_std20,SONE_std21,SONE_std22,SONE_std23, valence_mean, valence_std, arousal_mean, arousal_std
18,4812.554413,2142.648756,0.048889758,0.045884047,2191.90269,1125.166853,2819.643598,670.7644524,1.207470868,0.812830409,93.96306818,-240.422613,43.80986396,156.3422212,29.60119297,-18.0828868,16.34953404,62.12530996,19.30919278,-15.78092323,16.69585589,10.65464985,12.51864494,0.388853319,10.10813614,5.399579552,11.63263561,-2.273352484,9.075214697,-8.304656132,11.12291647,-5.551573192,11.1921258,3.799260941,9.344297999,-0.678317695,11.08223604,0.120564333,0.043010788,0.03192158,0.04446308,0.03514311,0.03571587,0.0305782,0.02797052,0.02145609,0.01347952,0.00950222,0.01117978,0.01229384,0.00586687,0.00565507,0.00243671,0.00442653,0.00805834,0.00781665,0.02169424,0.01307931,0.01917406,0.0163504,0.01720065,0.00777811,0.00529719,0.03192158,0.04446308,0.03514311,0.03571587,0.0305782,0.02797052,0.02145609,0.01347952,0.00950222,0.01117978,0.01229384,0.00586687,0.00565507,0.00243671,0.00442653,0.00805834,0.00781665,0.02169424,0.01307931,0.01917406,0.0163504,0.01720065,0.00777811,0.00529719,4.8,1.72,3.9,1.37
19,4183.39232,2699.411644,0.042666642,0.033461579,1922.497061,1037.717247,2685.032505,989.6746182,1.184521474,0.707449382,126.0480183,-123.513968,52.92780684,182.5579037,30.65894531,-18.4912952,19.15164917,24.32561299,15.98429397,3.763449814,19.99967785,20.1179328,16.247186,-10.6300064,14.03743797,13.70393934,8.945840925,-3.988158158,8.962114077,5.11947449,9.962240767,4.13520829,8.762756169,3.04796194,8.674039564,-2.757871732,7.285198347,0.316339949,0.089168258,0.1149921,0.11477152,0.07475196,0.0870958,0.05638556,0.064972,0.06367469,0.06637778,0.05291938,0.04370498,0.04374015,0.04365392,0.0455816,0.04904973,0.04349149,0.03598156,0.03527873,0.043868,0.02956131,0.02076824,0.02747186,0.03436254,0.0356652,0.03315983,0.1149921,0.11477152,0.07475196,0.0870958,0.05638556,0.064972,0.06367469,0.06637778,0.05291938,0.04370498,0.04374015,0.04365392,0.0455816,0.04904973,0.04349149,0.03598156,0.03527873,0.043868,0.02956131,0.02076824,0.02747186,0.03436254,0.0356652,0.03315983,5.9,1.64,4.3,1.9
20,5976.560234,3019.190472,0.068823865,0.037914326,2787.262702,1108.375929,3514.095371,949.9890026,1.501970206,1.88649327,109.9567819,-176.9788775,68.85595755,138.9913803,27.05637924,-22.99965464,28.23783657,55.41379679,19.72948645,5.305613945,17.67332099,32.77877767,12.52914039,-18.88302076,11.68275233,18.99852717,12.59985939,-11.31764059,12.28194474,12.89417315,11.53688387,-8.687945635,8.736162138,9.945684578,8.536094128,-4.153668274,9.002523207,0.214475056,0.106309704,0.07093148,0.0616631,0.05179693,0.04574779,0.0273352,0.03969561,0.02442979,0.01935905,0.0127601,0.0193937,0.0143867,0.02149666,0.03627182,0.02904191,0.04327967,0.03728161,0.0427474,0.03415992,0.03134188,0.02911766,0.02699453,0.02853331,0.02869976,0.04006709,0.07093148,0.0616631,0.05179693,0.04574779,0.0273352,0.03969561,0.02442979,0.01935905,0.0127601,0.0193937,0.0143867,0.02149666,0.03627182,0.02904191,0.04327967,0.03728161,0.0427474,0.03415992,0.03134188,0.02911766,0.02699453,0.02853331,0.02869976,0.04006709,5.4,2.5,6.5,2.11
21,3726.142744,1867.488447,0.040761548,0.021730837,1798.300276,702.997152,2585.65294,785.60999,1.18478562,1.403211115,135.9991776,-138.3127657,57.8755519,173.3272571,26.24207672,-20.81456296,17.2030208,40.97769108,13.53167577,-14.31971927,15.16312364,9.696196802,11.93985983,-12.44751822,11.73649754,10.87971113,11.3339645,-6.977104438,9.159795652,-0.566600745,8.545107667,-14.16781103,7.649080418,-6.3795673,8.286768924,-1.90892285,7.065309837,0.289205139,0.076853598,0.03304963,0.09047977,0.09514874,0.11607033,0.07326186,0.06888067,0.07376084,0.06859503,0.06146788,0.05010241,0.04359828,0.02987878,0.02194605,0.03180753,0.0353148,0.03305738,0.03147534,0.04204235,0.03296987,0.02759346,0.03034412,0.02360782,0.02542606,0.02273707,0.03304963,0.09047977,0.09514874,0.11607033,0.07326186,0.06888067,0.07376084,0.06859503,0.06146788,0.05010241,0.04359828,0.02987878,0.02194605,0.03180753,0.0353148,0.03305738,0.03147534,0.04204235,0.03296987,0.02759346,0.03034412,0.02360782,0.02542606,0.02273707,6.6,0.92,6.3,1.42
22,3283.449871,1571.109475,0.03960579,0.019162903,1661.561825,595.2394706,2311.132129,685.2447289,1.266556274,0.874159354,97.50884434,-194.2413997,68.24624331,185.2662342,26.51757955,-29.8438749,26.36999903,25.6966982,15.4902961,12.64640999,13.848091,16.49771701,10.23556634,-6.682258259,11.12253774,8.289386386,8.411170519,3.716397736,8.369105413,0.963646332,7.353257426,3.464613701,7.240939496,-1.984125243,7.889784677,-1.592060315,6.865311153,0.189260592,0.06955793,0.06576163,0.06666911,0.06147424,0.05661703,0.03353544,0.03121201,0.02927163,0.04137759,0.02788611,0.01873765,0.02543666,0.02343669,0.03181654,0.03381793,0.0426014,0.0299997,0.02644657,0.02794879,0.01101775,0.00869256,0.00794842,0.00788401,0.01072294,0.003983,0.06576163,0.06666911,0.06147424,0.05661703,0.03353544,0.03121201,0.02927163,0.04137759,0.02788611,0.01873765,0.02543666,0.02343669,0.03181654,0.03381793,0.0426014,0.0299997,0.02644657,0.02794879,0.01101775,0.00869256,0.00794842,0.00788401,0.01072294,0.003983,4,1.34,4.8,1.47
24,4316.935737,959.8166424,0.04314434,0.023345639,2147.375285,519.1812498,2888.050525,345.6328807,1.243110947,0.877838723,95.703125,-155.9399658,33.56378206,150.5369679,16.80474693,-39.1517437,22.55773036,48.00092325,11.65528144,-4.645883749,10.3541383,8.791715454,12.40662909,-7.38825983,9.658205657,9.868807688,9.833022872,-6.334224493,8.726183542,6.138443109,9.363210018,-15.39033828,9.85608983,-0.183721921,7.641963144,-16.37948728,10.18417396,0.240110791,0.060958684,0.0418695,0.07126306,0.04387004,0.08494351,0.05812744,0.04914194,0.02108712,0.04014967,0.04328303,0.02384933,0.02092841,0.02308804,0.03009519,0.0234401,0.03883782,0.03993033,0.04460478,0.03790513,0.03708273,0.03433065,0.02447909,0.01846072,0.01018057,0.01305812,0.0418695,0.07126306,0.04387004,0.08494351,0.05812744,0.04914194,0.02108712,0.04014967,0.04328303,0.02384933,0.02092841,0.02308804,0.03009519,0.0234401,0.03883782,0.03993033,0.04460478,0.03790513,0.03708273,0.03433065,0.02447909,0.01846072,0.01018057,0.01305812,5.3,1.62,3.9,1.76
25,5254.911415,1280.287578,0.056472079,0.0324408,2586.735773,554.2788962,3050.083139,618.4643243,1.435954994,1.004916915,114.84375,-144.488314,41.29865592,144.9130937,23.56924729,-53.3269827,25.52116742,54.03039103,12.35570264,1.588495348,10.96718398,25.04437927,12.61184955,-7.301521426,9.573911968,18.96742362,9.168327354,-4.827198716,8.476903025,19.67084673,9.15072622,-4.42427972,7.792517794,6.52007054,8.957972387,0.775695708,7.375519594,0.241555962,0.061000152,0.09836617,0.0806104,0.03382215,0.04300353,0.02054371,0.02193302,0.02182017,0.0342567,0.02856167,0.02049426,0.02756303,0.02560441,0.03961254,0.04347402,0.05481674,0.05696456,0.05123663,0.04584704,0.06253336,0.04195808,0.02671765,0.0242935,0.01796006,0.02175625,0.09836617,0.0806104,0.03382215,0.04300353,0.02054371,0.02193302,0.02182017,0.0342567,0.02856167,0.02049426,0.02756303,0.02560441,0.03961254,0.04347402,0.05481674,0.05696456,0.05123663,0.04584704,0.06253336,0.04195808,0.02671765,0.0242935,0.01796006,0.02175625,7.9,0.7,4.7,2.53
31,6014.197542,2657.806919,0.056359917,0.035567282,2619.865509,1138.174743,3193.873966,884.6854284,1.317687234,1.017720517,156.6051136,-184.3837341,52.97473949,127.7632601,30.54384232,-17.02671664,22.14230701,48.05842632,19.56938005,-8.238370136,14.2247783,28.67527828,16.00446828,11.23712974,14.99511855,15.1395023,13.54429209,8.558474875,14.19047149,6.728072729,12.58051274,3.359031854,10.78692257,0.081992712,12.31019767,2.764876704,8.290287968,0.189852387,0.076349874,0.08672458,0.06774495,0.04542289,0.03382905,0.0118884,0.017199,0.01553897,0.02067549,0.0232436,0.02711899,0.02421291,0.0145397,0.0194992,0.01801902,0.01849094,0.01569515,0.01790028,0.02311225,0.02667489,0.02835373,0.02948225,0.03145564,0.03075022,0.01931408,0.08672458,0.06774495,0.04542289,0.03382905,0.0118884,0.017199,0.01553897,0.02067549,0.0232436,0.02711899,0.02421291,0.0145397,0.0194992,0.01801902,0.01849094,0.01569515,0.01790028,0.02311225,0.02667489,0.02835373,0.02948225,0.03145564,0.03075022,0.01931408,4.7,1.55,3.8,1.54
32,2760.513341,422.1724523,0.063588594,0.014669008,1675.666435,287.9354944,1548.347098,228.9495198,1.137258618,0.71172905,129.1992188,-138.7175353,48.50445594,199.6447918,18.13397872,-68.27726425,16.7520246,-6.654564749,11.31389984,20.54691336,22.61380424,1.949637558,9.024202777,-7.035201605,11.13672187,1.589893028,8.954684403,10.0609037,9.92738439,-1.822866476,7.379713196,-8.134620115,7.360026825,-1.906779034,9.603819893,-2.515638329,8.489349339,0.337081564,0.11513486,0.03575509,0.04684122,0.0780255,0.05446153,0.04031188,0.07274915,0.0583809,0.07665101,0.09793344,0.0655854,0.08685336,0.08134366,0.07568298,0.06903611,0.13183881,0.08051936,0.04918172,0.043409,0.02184095,0.01410494,0.01086973,0.0076043,0.00393609,0.00307214,0.03575509,0.04684122,0.0780255,0.05446153,0.04031188,0.07274915,0.0583809,0.07665101,0.09793344,0.0655854,0.08685336,0.08134366,0.07568298,0.06903611,0.13183881,0.08051936,0.04918172,0.043409,0.02184095,0.01410494,0.01086973,0.0076043,0.00393609,0.00307214,4.2,1.78,3.3,1.49
35,3876.919784,2313.284648,0.038496592,0.026722893,1882.650009,870.800763,2776.239858,731.4422917,1.717455185,1.917041979,156.6051136,-167.0590606,66.35328234,147.5019078,21.95393153,-6.909372461,29.421069,41.6785823,15.86948772,-9.349263692,20.44635781,18.8478561,13.4360823,5.574926312,15.49817472,10.94984547,10.97103952,-9.756568669,12.77934718,-4.689697846,10.85283795,-4.905606387,10.54855654,-7.311268459,9.960829714,-3.7558795,10.53383359,0.269783692,0.106877131,0.05045725,0.07869984,0.07286117,0.09809303,0.0438911,0.05847312,0.03842332,0.04020691,0.03117437,0.04685213,0.04443922,0.02252731,0.0320398,0.02089256,0.02227727,0.01846689,0.01802551,0.04497563,0.03201247,0.02953504,0.02763056,0.02929119,0.0284798,0.01928306,0.05045725,0.07869984,0.07286117,0.09809303,0.0438911,0.05847312,0.03842332,0.04020691,0.03117437,0.04685213,0.04443922,0.02252731,0.0320398,0.02089256,0.02227727,0.01846689,0.01802551,0.04497563,0.03201247,0.02953504,0.02763056,0.02929119,0.0284798,0.01928306,4.8,2.14,6.5,2.11
37,4643.733233,1731.454716,0.045164568,0.023274722,2290.632799,750.351181,2958.809991,829.6539137,1.324525443,0.941751665,139.6748311,-143.8407573,36.86773406,167.0733568,28.71905455,-47.25407108,16.15128991,39.77510099,11.57834117,6.099703061,15.59789503,15.72780884,12.10729565,-13.23907694,10.5052972,17.07046996,10.65351865,-6.746541465,9.8805275,13.73931921,10.29985604,-5.316789551,9.794446104,5.201926141,8.437124919,-6.990834174,7.638621188,0.239235984,0.057165735,0.08071667,0.09020673,0.04584489,0.05182274,0.03507245,0.04755113,0.04050331,0.03388918,0.03658529,0.02538619,0.02691835,0.02705331,0.03653725,0.04201561,0.05572725,0.04487632,0.04394186,0.04583138,0.04065049,0.02404409,0.0175934,0.01792573,0.01476091,0.02720146,0.08071667,0.09020673,0.04584489,0.05182274,0.03507245,0.04755113,0.04050331,0.03388918,0.03658529,0.02538619,0.02691835,0.02705331,0.03653725,0.04201561,0.05572725,0.04487632,0.04394186,0.04583138,0.04065049,0.02404409,0.0175934,0.01792573,0.01476091,0.02720146,6.6,2.11,5.3,2
39,4527.430841,966.6663515,0.082184451,0.022466315,2538.885113,502.6198793,2340.407779,402.633931,1.329716452,0.923598775,123.046875,-106.6978816,51.1655583,156.8317976,23.24315335,-80.2311074,21.19020737,42.9903184,21.91276609,-8.110791825,13.42438802,9.035614171,13.89692777,-8.861894582,11.18523757,3.992672794,9.633802838,-3.588939725,11.56029008,-10.55140519,7.983083436,-0.746858782,8.561655316,-4.736098257,8.210857241,2.359189527,12.25863652,0.333252718,0.092802409,0.03398973,0.05586864,0.0483771,0.06314886,0.04524501,0.05397074,0.05805797,0.04776724,0.0476068,0.06304198,0.07994839,0.05793237,0.08057325,0.06141908,0.093177,0.09365028,0.08776841,0.09401833,0.07351661,0.05136939,0.04175945,0.04025288,0.02362204,0.00950882,0.03398973,0.05586864,0.0483771,0.06314886,0.04524501,0.05397074,0.05805797,0.04776724,0.0476068,0.06304198,0.07994839,0.05793237,0.08057325,0.06141908,0.093177,0.09365028,0.08776841,0.09401833,0.07351661,0.05136939,0.04175945,0.04025288,0.02362204,0.00950882,7.3,1.85,5.4,2.37
40,3444.646696,2263.168986,0.030805376,0.026995148,1670.437621,935.3212124,2524.808344,925.0980754,1.159246872,0.899501823,126.0480183,-234.8134972,74.24509314,165.9508503,29.58229438,-5.659811967,21.20201062,37.4974275,17.05220882,6.333890014,18.31583255,17.2306154,13.69824853,-1.779901545,12.38263696,6.020061872,10.7116012,-4.12791841,10.29087425,4.815753771,8.438339348,-1.862039212,7.102355778,-0.427047814,7.694545734,-3.042502489,6.987080987,0.145284713,0.076904949,0.04713716,0.06375015,0.04516818,0.04640084,0.02670325,0.03188899,0.02820505,0.02066213,0.01500651,0.01307168,0.01256171,0.00903682,0.01660815,0.01022365,0.01197134,0.0098157,0.01060662,0.01331119,0.01144835,0.01169843,0.00961757,0.0103092,0.01044485,0.00847141,0.04713716,0.06375015,0.04516818,0.04640084,0.02670325,0.03188899,0.02820505,0.02066213,0.01500651,0.01307168,0.01256171,0.00903682,0.01660815,0.01022365,0.01197134,0.0098157,0.01060662,0.01331119,0.01144835,0.01169843,0.00961757,0.0103092,0.01044485,0.00847141,4.6,1.28,4.8,1.54
